,Total_Population,Total_Population,Total_Population,Urban_Population,Urban_Population,Urban_Population,Urbanization_Rate,Urbanization_Rate,Urbanization_Rate
,min,max,mean,min,max,mean,min,max,mean
State,,,,,,,,,
FCT,830000,4370000,2387548.0,747000,4197300,2256730.6,90.0,96.05,93.21
Lagos,8029200,14368332,10936626.0,6422560,12966892,9405092.4,79.99,90.25,85.24
Oyo,4472200,7840864,6165748.6,2010990,4154449,3038841.0,44.97,52.98,48.79
Rivers,4100500,7303700,5727721.2,2337365,5186664,3744042.4,57.0,71.01,64.41
